column,description,unit,source
country,Country - Geographic location.,,Our World in Data - Regions (2023)
year,Year - Year of observation.,,Our World in Data - Regions (2023)
biofuel_consumption,Primary energy consumption from biofuels - Measured in terawatt-hours.,terawatt-hours,Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
biofuel_electricity,Electricity generation from bioenergy - Measured in terawatt-hours.,terawatt-hours,Ember - Yearly Electricity Data (2024) [https://ember-climate.org/data-catalogue/yearly-electricity-data/]
biofuel_share_elec,Share of electricity generated by bioenergy - Measured as a percentage of total electricity.,%,Ember - Yearly Electricity Data (2024) [https://ember-climate.org/data-catalogue/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
biofuel_share_energy,"Share of primary energy consumption that comes from biofuels - Measured as a percentage of the total primary energy, using the substitution method.",%,Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
carbon_intensity_elec,"Carbon intensity of electricity generation - Greenhouse gases emitted per unit of generated electricity, measured in grams of CO₂ equivalents per kilowatt-hour.",grams of CO₂ equivalents per kilowatt-hour,Ember - Yearly Electricity Data (2024) [https://ember-climate.org/data-catalogue/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
coal_consumption,Primary energy consumption from coal - Measured in terawatt-hours.,terawatt-hours,Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
coal_electricity,Electricity generation from coal - Measured in terawatt-hours.,terawatt-hours,Ember - Yearly Electricity Data (2024) [https://ember-climate.org/data-catalogue/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]
coal_production,Coal production - Measured in terawatt-hours.,terawatt-hours,Energy Institute - Statistical Review of World Energy (2024) [https://www.energyinst.org/statistical-review/]; The Shift Data Portal - Energy production from fossil fuels (2019) [https://www.theshiftdataportal.org/]
